file,features
135054,"[5.7027027027027035, 0.22972972972972974, 0.12162162162162163, 0.17567567567567569, 0.12162162162162163, 0.13513513513513514, 0.21621621621621623]"
135336,"[4.975999999999998, 0.22857142857142856, 0.13142857142857142, 0.12, 0.13714285714285715, 0.09714285714285714, 0.2857142857142857]"
135337,"[2.45934065934066, 0.5164835164835165, 0.23076923076923078, 0.08791208791208792, 0.03296703296703297, 0.04395604395604396, 0.08791208791208792]"
135043,"[4.309722222222221, 0.3194444444444444, 0.1527777777777778, 0.1388888888888889, 0.08333333333333333, 0.13194444444444445, 0.1736111111111111]"
135091,"[4.249999999999998, 0.2590909090909091, 0.09090909090909091, 0.15454545454545454, 0.16363636363636364, 0.09545454545454546, 0.23636363636363636]"
135092,"[0.9840000000000001, 0.72, 0.16, 0.0, 0.04, 0.0, 0.08]"
135044,"[3.4919540229885064, 0.5517241379310345, 0.11494252873563218, 0.022988505747126436, 0.08045977011494253, 0.034482758620689655, 0.19540229885057472]"
135989,"[2.5685039370078746, 0.44881889763779526, 0.2440944881889764, 0.1968503937007874, 0.015748031496062992, 0.007874015748031496, 0.08661417322834646]"
135221,"[3.4231884057971023, 0.3188405797101449, 0.10144927536231885, 0.17391304347826086, 0.2463768115942029, 0.057971014492753624, 0.10144927536231885]"
135369,"[4.075510204081632, 0.30612244897959184, 0.05102040816326531, 0.11224489795918367, 0.3469387755102041, 0.07142857142857142, 0.11224489795918367]"
135341,"[3.6338709677419354, 0.33064516129032256, 0.12903225806451613, 0.2903225806451613, 0.06451612903225806, 0.06451612903225806, 0.12096774193548387]"
135340,"[3.407751937984496, 0.3488372093023256, 0.18604651162790697, 0.17829457364341086, 0.06201550387596899, 0.10077519379844961, 0.12403100775193798]"
135368,"[2.1343283582089554, 0.582089552238806, 0.26865671641791045, 0.029850746268656716, 0.05970149253731343, 0.04477611940298507, 0.014925373134328358]"
135220,"[4.43351351351351, 0.3081081081081081, 0.16756756756756758, 0.12432432432432433, 0.06486486486486487, 0.07567567567567568, 0.2594594594594595]"
135222,"[4.536486486486486, 0.28378378378378377, 0.060810810810810814, 0.14189189189189189, 0.22297297297297297, 0.14189189189189189, 0.14864864864864866]"
135342,"[4.8084033613445385, 0.35294117647058826, 0.10084033613445378, 0.1092436974789916, 0.15126050420168066, 0.08403361344537816, 0.20168067226890757]"
135223,"[4.139090909090908, 0.2681818181818182, 0.12272727272727273, 0.11363636363636363, 0.17727272727272728, 0.14545454545454545, 0.17272727272727273]"
135227,"[3.7152317880794703, 0.3576158940397351, 0.23841059602649006, 0.12582781456953643, 0.046357615894039736, 0.052980132450331126, 0.17880794701986755]"
135226,"[4.222660098522166, 0.29064039408866993, 0.13793103448275862, 0.10837438423645321, 0.18719211822660098, 0.10837438423645321, 0.16748768472906403]"
135224,"[4.839301310043666, 0.19213973799126638, 0.1572052401746725, 0.15283842794759825, 0.1572052401746725, 0.06986899563318777, 0.27074235807860264]"
135219,"[5.438636363636362, 0.2215909090909091, 0.11363636363636363, 0.10795454545454546, 0.17613636363636365, 0.07386363636363637, 0.3068181818181818]"
135225,"[4.480225988700562, 0.24858757062146894, 0.14689265536723164, 0.15254237288135594, 0.11299435028248588, 0.12994350282485875, 0.20903954802259886]"
135228,"[5.064406779661015, 0.23163841807909605, 0.14124293785310735, 0.12994350282485875, 0.14689265536723164, 0.096045197740113, 0.2542372881355932]"
135374,"[3.0239130434782613, 0.5217391304347826, 0.18478260869565216, 0.043478260869565216, 0.05434782608695652, 0.010869565217391304, 0.18478260869565216]"
135375,"[1.4585365853658536, 0.6829268292682927, 0.2682926829268293, 0.0, 0.012195121951219513, 0.0, 0.036585365853658534]"
135229,"[3.807650273224042, 0.3114754098360656, 0.08743169398907104, 0.06557377049180328, 0.16939890710382513, 0.03278688524590164, 0.3333333333333333]"
135363,"[1.453164556962025, 0.759493670886076, 0.0759493670886076, 0.02531645569620253, 0.02531645569620253, 0.012658227848101266, 0.10126582278481013]"
135028,"[3.625210084033614, 0.37815126050420167, 0.20168067226890757, 0.08403361344537816, 0.09243697478991597, 0.1092436974789916, 0.13445378151260504]"
135010,"[3.152212389380532, 0.39823008849557523, 0.0, 0.04424778761061947, 0.336283185840708, 0.0, 0.22123893805309736]"
135986,"[4.045454545454547, 0.4772727272727273, 0.24242424242424243, 0.0, 0.0, 0.0, 0.2803030303030303]"
135372,"[2.056198347107438, 0.5206611570247934, 0.3884297520661157, 0.08264462809917356, 0.0, 0.0, 0.008264462809917356]"
