file,features
135986,"[4.534306569343064, 0.48175182481751827, 0.20437956204379562, 0.0, 0.0, 0.0, 0.31386861313868614]"
135375,"[9.24659090909091, 0.23295454545454544, 0.2840909090909091, 0.0, 0.022727272727272728, 0.017045454545454544, 0.4431818181818182]"
135372,"[8.699065420560755, 0.18691588785046728, 0.205607476635514, 0.0514018691588785, 0.009345794392523364, 0.0, 0.5467289719626168]"
135373,"[5.989473684210525, 0.2556390977443609, 0.24812030075187969, 0.18796992481203006, 0.03007518796992481, 0.0, 0.2781954887218045]"
135989,"[6.661643835616437, 0.2671232876712329, 0.23972602739726026, 0.11643835616438356, 0.0547945205479452, 0.00684931506849315, 0.3150684931506849]"
135374,"[10.414102564102567, 0.16025641025641027, 0.25, 0.019230769230769232, 0.00641025641025641, 0.0, 0.5641025641025641]"
135342,"[8.576271186440678, 0.423728813559322, 0.05084745762711865, 0.1016949152542373, 0.01694915254237288, 0.01694915254237288, 0.3898305084745763]"
135225,"[4.3076923076923075, 0.28846153846153844, 0.07692307692307693, 0.15384615384615385, 0.22115384615384615, 0.0673076923076923, 0.19230769230769232]"
135028,"[7.818055555555554, 0.1736111111111111, 0.2361111111111111, 0.09722222222222222, 0.0625, 0.06944444444444445, 0.3611111111111111]"
135010,"[9.171428571428573, 0.19047619047619047, 0.0, 0.0, 0.23809523809523808, 0.0, 0.5714285714285714]"
135222,"[6.3440329218107, 0.1934156378600823, 0.14814814814814814, 0.1646090534979424, 0.10699588477366255, 0.06172839506172839, 0.32510288065843623]"
135044,"[18.13235294117647, 0.14705882352941177, 0.04411764705882353, 0.0, 0.014705882352941176, 0.0, 0.7941176470588235]"
135043,"[8.777777777777779, 0.38271604938271603, 0.12345679012345678, 0.07407407407407407, 0.024691358024691357, 0.024691358024691357, 0.37037037037037035]"
135223,"[7.759537572254338, 0.15028901734104047, 0.1791907514450867, 0.09826589595375723, 0.12138728323699421, 0.04046242774566474, 0.41040462427745666]"
135224,"[5.931683168316829, 0.16831683168316833, 0.18811881188118812, 0.15841584158415842, 0.07920792079207921, 0.04455445544554455, 0.3613861386138614]"
135089,"[8.975, 0.16666666666666666, 0.041666666666666664, 0.08333333333333333, 0.20833333333333334, 0.0, 0.5]"
135369,"[6.575555555555555, 0.28888888888888886, 0.06666666666666667, 0.18888888888888888, 0.2111111111111111, 0.022222222222222223, 0.2222222222222222]"
135368,"[6.457746478873236, 0.3380281690140845, 0.19718309859154928, 0.04225352112676056, 0.035211267605633804, 0.028169014084507043, 0.3591549295774648]"
135340,"[6.002739726027396, 0.2191780821917808, 0.19863013698630136, 0.17123287671232876, 0.0958904109589041, 0.0410958904109589, 0.273972602739726]"
135371,"[6.345454545454545, 0.2727272727272727, 0.045454545454545456, 0.13636363636363635, 0.22727272727272727, 0.0, 0.3181818181818182]"
135370,"[7.638095238095237, 0.42857142857142855, 0.10714285714285714, 0.0, 0.05952380952380952, 0.08333333333333333, 0.32142857142857145]"
135341,"[6.8429752066115705, 0.2727272727272727, 0.1487603305785124, 0.2644628099173554, 0.08264462809917356, 0.01652892561983471, 0.21487603305785125]"
135039,"[12.89056603773585, 0.1320754716981132, 0.16037735849056603, 0.05660377358490566, 0.04716981132075472, 0.0, 0.6037735849056604]"
135054,"[5.669767441860463, 0.09302325581395349, 0.08139534883720931, 0.1511627906976744, 0.18604651162790697, 0.1744186046511628, 0.313953488372093]"
135091,"[4.710679611650484, 0.23300970873786409, 0.05825242718446602, 0.10679611650485436, 0.1941747572815534, 0.05825242718446602, 0.34951456310679613]"
135228,"[5.473394495412843, 0.28440366972477066, 0.1651376146788991, 0.11926605504587157, 0.09174311926605505, 0.03669724770642202, 0.30275229357798167]"
135221,"[6.760360360360359, 0.14864864864864866, 0.07207207207207207, 0.1036036036036036, 0.1981981981981982, 0.0945945945945946, 0.38288288288288286]"
135226,"[5.504444444444442, 0.18888888888888888, 0.12777777777777777, 0.17222222222222222, 0.12222222222222222, 0.08333333333333333, 0.3055555555555556]"
135219,"[6.658666666666663, 0.08, 0.06666666666666667, 0.2, 0.08, 0.13333333333333333, 0.44]"
135227,"[6.713661202185792, 0.21311475409836064, 0.18032786885245902, 0.14207650273224043, 0.03278688524590164, 0.04918032786885246, 0.3825136612021858]"
135220,"[7.439548022598872, 0.2033898305084746, 0.15819209039548024, 0.1016949152542373, 0.01694915254237288, 0.03954802259887006, 0.480225988700565]"
135229,"[7.231292517006801, 0.10884353741496598, 0.1360544217687075, 0.1360544217687075, 0.19727891156462585, 0.10884353741496598, 0.3129251700680272]"
135364,"[5.661068702290074, 0.16793893129770993, 0.12213740458015267, 0.20610687022900764, 0.09923664122137404, 0.0916030534351145, 0.31297709923664124]"
135990,"[3.8109890109890103, 0.4065934065934066, 0.27472527472527475, 0.2087912087912088, 0.0, 0.02197802197802198, 0.08791208791208792]"
135339,"[4.342105263157894, 0.3684210526315789, 0.23684210526315788, 0.07894736842105263, 0.05263157894736842, 0.039473684210526314, 0.2236842105263158]"
135337,"[6.461403508771927, 0.3508771929824561, 0.15789473684210525, 0.07894736842105263, 0.03508771929824561, 0.017543859649122806, 0.35964912280701755]"
135365,"[7.555000000000002, 0.25, 0.175, 0.0, 0.025, 0.025, 0.525]"
135336,"[9.471232876712328, 0.3150684931506849, 0.0410958904109589, 0.0136986301369863, 0.0547945205479452, 0.1780821917808219, 0.3972602739726027]"
135338,"[6.926984126984126, 0.23809523809523808, 0.12698412698412698, 0.1111111111111111, 0.14285714285714285, 0.015873015873015872, 0.36507936507936506]"
132962,"[6.163503649635036, 0.29927007299270075, 0.2773722627737226, 0.10948905109489052, 0.029197080291970802, 0.0364963503649635, 0.24817518248175183]"
132965,"[5.588461538461539, 0.1875, 0.1778846153846154, 0.20673076923076922, 0.08653846153846154, 0.09134615384615384, 0.25]"
132954,"[6.545882352941175, 0.1411764705882353, 0.17647058823529413, 0.21176470588235294, 0.09411764705882353, 0.08235294117647059, 0.29411764705882354]"
132567,"[5.6000000000000005, 0.631578947368421, 0.0, 0.05263157894736842, 0.013157894736842105, 0.05263157894736842, 0.25]"
132790,"[7.819354838709676, 0.28225806451612906, 0.13709677419354838, 0.08064516129032258, 0.07258064516129033, 0.056451612903225805, 0.3709677419354839]"
132964,"[6.672222222222221, 0.3148148148148148, 0.24074074074074073, 0.05555555555555555, 0.037037037037037035, 0.018518518518518517, 0.3333333333333333]"
132963,"[8.582035928143714, 0.2874251497005988, 0.0658682634730539, 0.023952095808383235, 0.029940119760479042, 0.16766467065868262, 0.4251497005988024]"
132134,"[9.056497175141244, 0.23728813559322035, 0.3220338983050847, 0.02824858757062147, 0.005649717514124294, 0.0, 0.4067796610169492]"
132568,"[6.340331491712708, 0.18232044198895028, 0.11602209944751381, 0.18232044198895028, 0.09944751381215469, 0.0718232044198895, 0.34806629834254144]"
132791,"[6.280225988700563, 0.21468926553672316, 0.192090395480226, 0.0903954802259887, 0.062146892655367235, 0.06779661016949153, 0.3728813559322034]"
132561,"[8.742857142857144, 0.10714285714285714, 0.10714285714285714, 0.07142857142857142, 0.03571428571428571, 0.03571428571428571, 0.6428571428571429]"
132566,"[1.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5]"
132041,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
132449,"[6.959322033898306, 0.2033898305084746, 0.06779661016949153, 0.13559322033898305, 0.11864406779661017, 0.11864406779661017, 0.3559322033898305]"
132675,"[6.475609756097561, 0.17073170731707318, 0.04878048780487805, 0.2073170731707317, 0.0975609756097561, 0.14634146341463414, 0.32926829268292684]"
132040,"[5.105084745762712, 0.3135593220338983, 0.03389830508474576, 0.13559322033898305, 0.3559322033898305, 0.00847457627118644, 0.15254237288135594]"
132272,"[3.725, 0.75, 0.0, 0.0, 0.041666666666666664, 0.0, 0.20833333333333334]"
132424,"[3.878651685393258, 0.449438202247191, 0.11235955056179775, 0.06741573033707865, 0.10112359550561797, 0.07865168539325842, 0.19101123595505617]"
132453,"[10.157534246575343, 0.19863013698630136, 0.00684931506849315, 0.07534246575342465, 0.2465753424657534, 0.0, 0.4726027397260274]"
132454,"[8.315789473684207, 0.28289473684210525, 0.046052631578947366, 0.0, 0.039473684210526314, 0.019736842105263157, 0.6118421052631579]"
132436,"[6.29433962264151, 0.19339622641509435, 0.1179245283018868, 0.11320754716981132, 0.1509433962264151, 0.09905660377358491, 0.32547169811320753]"
132118,"[6.170588235294117, 0.18627450980392157, 0.12745098039215685, 0.15196078431372548, 0.09803921568627451, 0.13725490196078433, 0.29901960784313725]"
132778,"[8.231168831168837, 0.19480519480519481, 0.17316017316017315, 0.021645021645021644, 0.0735930735930736, 0.021645021645021644, 0.5151515151515151]"
132142,"[4.848648648648648, 0.3783783783783784, 0.16216216216216217, 0.10810810810810811, 0.08108108108108109, 0.10810810810810811, 0.16216216216216217]"
132117,"[7.077595628415301, 0.25136612021857924, 0.22950819672131148, 0.16393442622950818, 0.02185792349726776, 0.0, 0.3333333333333333]"
132914,"[5.609375, 0.421875, 0.03125, 0.125, 0.046875, 0.1875, 0.1875]"
132779,"[10.87978142076503, 0.3114754098360656, 0.11475409836065574, 0.01092896174863388, 0.01639344262295082, 0.03278688524590164, 0.5136612021857924]"
