Timestamp,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,Quality,How Likely to Listen?,What track number was your favorite?,What track number was your least favorite?,Additional comments?
10/30/2023 20:54:34,6,5,5,2,7,6,6,5,4,2,2,1,6,5,4,2,7,5,7,6,6,4,4,6,4,2,7,4,2,4,3,5,3,4,5,3,3,6,6,2,4,3,6,5,4,2,4,4,5,5,7,7,7,4,7,5,7,6,4,2,2,2,6,7,2,2,4,2,5,4,4,1,4,1,2,1,6,4,6,4,6,2,3,4,6,2,2,4,5,4,4,5,6,4,5,4,1,2,4,1,4,2,5,2,2,1,2,2,3,1,4,2,2,2,1,1,3,1,4,4,1,1,5,4,4,5,6,6,3,4,5,5,26,58,
10/31/2023 15:22:36,6,1,4,3,7,1,6,2,3,6,6,5,5,5,7,7,6,6,3,1,5,4,5,3,1,1,6,5,1,1,2,1,3,4,4,4,3,1,4,3,3,2,3,2,6,5,3,2,5,4,7,7,5,5,5,2,6,5,6,6,3,2,6,3,2,2,4,2,4,2,1,1,3,2,3,1,5,2,6,3,5,2,5,4,1,1,4,2,6,4,6,3,5,4,7,6,1,1,6,6,2,1,4,2,2,1,2,1,3,2,1,1,2,1,1,1,1,1,2,1,2,1,6,6,6,6,6,6,5,3,5,4,26,59,
10/31/2023 15:24:43,3,2,4,4,2,2,5,5,1,1,4,2,4,5,5,4,4,4,2,2,5,5,6,5,1,1,5,4,1,1,2,1,5,5,5,4,5,5,6,6,5,5,3,2,3,3,2,2,6,6,6,7,5,3,4,3,5,4,5,4,4,2,5,5,3,1,3,2,2,1,1,1,2,2,2,1,4,1,5,5,6,6,4,4,6,5,6,7,4,3,6,7,3,5,3,3,1,1,5,2,1,1,3,1,2,1,2,1,2,1,3,1,1,1,1,1,1,1,2,1,4,3,4,3,4,3,5,4,3,4,2,2,26,49,
11/1/2023 19:30:32,2,1,5,5,6,4,7,6,3,1,6,7,5,3,3,2,6,3,3,1,6,7,3,3,4,1,7,7,1,1,5,5,6,5,5,4,3,1,6,5,6,5,5,5,6,2,2,2,3,2,4,2,5,6,5,3,6,6,5,3,4,2,5,5,6,5,6,5,5,3,2,1,5,5,5,2,6,2,6,1,5,1,5,5,3,3,5,2,6,5,5,2,5,2,5,5,5,3,6,7,2,1,6,6,2,2,3,1,6,5,5,5,6,6,1,1,5,1,5,1,2,1,6,7,5,3,3,1,5,1,5,2,50,58,
11/1/2023 19:30:37,2,1,5,5,5,2,6,5,2,2,7,6,6,6,5,3,6,5,7,7,5,5,5,1,1,1,5,5,1,1,4,5,4,2,2,1,1,1,5,5,6,5,5,4,5,5,2,1,5,5,5,6,5,5,3,3,2,1,2,1,2,1,5,5,5,2,5,6,5,3,1,1,6,7,1,1,2,1,5,3,6,6,5,6,1,1,2,1,5,5,2,1,1,1,5,2,1,1,6,5,2,2,6,6,1,2,3,2,2,1,5,5,1,1,1,1,2,1,5,5,2,1,7,6,7,6,5,5,3,3,6,5,52,15,
11/10/2023 12:08:17,4,2,5,3,7,5,4,2,3,1,2,1,5,7,3,2,5,5,7,7,6,5,2,1,5,2,6,4,3,1,5,3,5,2,4,3,5,2,4,1,3,1,5,3,6,3,2,2,5,3,6,5,6,3,4,3,5,4,3,4,2,2,4,5,5,2,6,6,5,3,4,1,3,2,3,1,5,2,1,2,5,3,3,4,5,2,2,4,4,1,5,3,3,2,4,2,4,1,6,2,4,1,4,2,3,4,2,1,2,3,2,5,3,1,4,2,4,2,5,3,1,3,4,3,3,3,4,3,2,4,2,3,"Track 3 was my favorite because, even though I would listen to other types of songs more often, track 3 makes me feel emotions the most.","Track 40 stuck with me as the one I liked the least. The instrumental music was not that much to my taste but it was okay-ish, that's why I gave it a higher rating in likeliness to listen. The problem is that I understood the lyrics and really hated them.",
11/12/2023 19:32:26,2,2,4,5,6,7,5,5,2,1,1,1,4,4,7,7,6,5,3,2,5,3,2,6,5,5,5,5,2,1,6,5,5,2,2,4,6,4,6,2,6,4,7,5,2,2,6,3,6,7,6,7,7,7,6,5,4,6,2,4,2,2,5,3,7,6,6,6,3,1,2,2,6,5,2,1,4,2,4,2,5,2,2,5,2,5,1,5,2,3,4,7,4,5,6,3,3,5,7,5,2,1,6,2,1,1,4,2,1,1,5,7,4,4,1,1,5,4,4,6,1,7,5,6,2,3,5,7,1,7,2,2,22,58,Track 6 was hard to hear/close to inaudible.
11/12/2023 19:34:19,4,2,2,1,5,6,5,5,1,1,4,2,5,3,3,2,5,3,5,3,5,2,5,2,2,1,4,3,1,1,3,3,5,2,4,1,2,1,5,2,4,3,4,3,5,2,4,2,3,3,4,4,4,2,4,3,4,3,2,3,5,3,4,3,5,3,4,3,5,3,4,2,4,5,3,1,4,4,5,3,5,4,3,2,4,5,4,2,5,3,2,2,2,1,4,6,2,3,4,3,2,1,4,3,1,1,1,1,1,1,1,2,4,4,1,1,1,2,5,4,3,1,4,5,4,3,3,3,2,2,2,1,9,53,yo
11/12/2023 19:35:49,4,2,4,4,5,5,4,5,2,3,3,2,5,6,4,2,5,4,5,3,5,5,4,2,3,1,5,6,2,1,4,5,3,3,5,3,3,3,3,2,5,3,5,5,5,4,3,3,5,5,5,5,5,3,6,5,6,5,3,5,5,3,5,5,4,4,5,5,5,3,4,2,5,4,4,2,3,1,4,3,6,4,4,3,2,2,4,3,5,4,4,5,6,4,3,2,1,2,4,2,2,2,5,3,2,2,2,2,3,2,4,5,4,3,1,1,2,2,3,2,3,2,7,6,5,5,4,5,5,5,4,5,Track 62,Track 58,
11/12/2023 23:59:52,3,1,5,3,7,6,5,6,1,1,4,2,4,3,3,2,5,5,7,7,4,2,4,1,3,1,7,7,1,1,4,3,5,3,5,2,6,5,7,6,5,5,3,2,5,2,2,1,5,6,6,5,5,5,5,3,4,2,4,2,4,1,5,2,3,1,3,4,4,3,2,1,6,2,1,1,5,5,5,4,5,5,4,3,5,4,4,1,3,1,5,5,6,3,4,2,1,1,6,4,2,1,5,4,4,4,4,4,3,5,3,5,4,1,1,1,3,2,6,4,3,1,7,7,5,5,4,4,4,2,3,4,10,Track 49,
